total	pitch	player	tau	brier	n_pitchers	exp	val	decay	alpha	n_feat	n_train	sec
67.31171853500024	69.9875724226917	61.0680594637202	0.221361189274404	0.600248551546166	321	base_rf	2024	1.0	100.0	49	1002910	16
64.11209356093288	69.88708364770342	50.63711669180163	0.012742333836032611	0.6022583270459317	303	base_rf	2023	1.0	100.0	49	790308	11
67.31171853500024	69.9875724226917	61.0680594637202	0.221361189274404	0.600248551546166	321	base_rf	2024	1.0	100.0	49	1002910	16
67.38743456238369	69.97891460888346	61.34064778721757	0.2268129557443515	0.600421707822331	321	hist_rf	2024	1.0	100.0	63	1002910	17
68.84430380510263	69.97235234728674	66.21219054000638	0.32424381080012754	0.6005529530542651	321	base_lgbm	2024	1.0	100.0	47	1002910	44
69.05698523847607	69.96910387543136	66.92870841891376	0.3385741683782753	0.6006179224913728	321	hist_lgbm	2024	1.0	100.0	61	1002910	37
64.11209356093288	69.88708364770342	50.63711669180163	0.012742333836032611	0.6022583270459317	303	base_rf	2023	1.0	100.0	49	790308	11
64.08459945678037	69.88152779821064	50.55843332677639	0.011168666535527725	0.6023694440357872	303	hist_rf	2023	1.0	100.0	63	790308	13
64.43698444962112	69.77045531826221	51.992219089458615	0.0398443817891723	0.6045908936347559	303	base_lgbm	2023	1.0	100.0	47	790308	27
64.41763956283711	69.77279438096133	51.922278320547285	0.03844556641094573	0.6045441123807735	303	hist_lgbm	2023	1.0	100.0	61	790308	34
70.62831250537842	69.9252582192267	72.26877250639909	0.44537545012798196	0.601494835615466	306	base_rf	2022	1.0	100.0	49	586361	8
70.46870195127916	69.9222559998713	71.74374250456415	0.4348748500912831	0.601554880002574	306	hist_rf	2022	1.0	100.0	63	586361	9
70.13750626337497	69.87710294284507	70.7451140112781	0.4149022802255622	0.6024579411430986	306	base_lgbm	2022	1.0	100.0	47	586361	24
70.27942774034642	69.88055080720979	71.21014058433191	0.42420281168663826	0.6023889838558042	306	hist_lgbm	2022	1.0	100.0	61	586361	33
64.41763956283711	69.77279438096133	51.922278320547285	0.03844556641094573	0.6045441123807735	303	hist_lgbm	2023	1.0	100.0	61	790308	36
69.05698523847607	69.96910387543136	66.92870841891376	0.3385741683782753	0.6006179224913728	321	hist_lgbm	2024	1.0	100.0	61	1002910	179
70.27942774034642	69.88055080720979	71.21014058433191	0.42420281168663826	0.6023889838558042	306	hist_lgbm	2022	1.0	100.0	61	586361	135
64.3594401108646	69.81048747443222	51.64032959587349	0.032806591917469895	0.6037902505113555	303	hist_lgbm_reg	2023	1.0	100.0	61	790308	19
69.2080960757834	70.01224451149095	67.33174972579916	0.34663499451598334	0.5997551097701809	321	hist_lgbm_reg	2024	1.0	100.0	61	1002910	21
70.527279162613	69.93154572425733	71.91732385210958	0.43834647704219176	0.6013690855148536	306	hist_lgbm_reg	2022	1.0	100.0	61	586361	15
64.36308107073208	69.76791680262045	51.751797696325916	0.03503595392651848	0.6046416639475912	303	hist_lgbm-from2020	2023	1.0	100.0	61	623747	34
69.17398579068981	69.96935671114646	67.31812030962429	0.346362406192486	0.600612865777071	321	hist_lgbm-from2020	2024	1.0	100.0	61	836349	38
70.08545145711273	69.86519148222222	70.59939139852392	0.41198782797047845	0.6026961703555557	306	hist_lgbm-from2020	2022	1.0	100.0	61	419800	30
64.27956844643448	69.72073947156368	51.583502721133044	0.03167005442266081	0.6055852105687266	303	hist_lgbm-era	2023	1.0	100.0	61	790308	37
